month,day,hour,description,lamax,laeq
12,16,19,MP 02: Naamsestraat 57 Xior,58.16988888888889,56.31738888888889
12,16,19,MP 03: Naamsestraat 62 Taste,59.11086111111111,57.357055555555554
12,16,19,MP 04: His & Hears,60.52941666666666,58.832722222222216
12,16,19,MP 05: Calvariekapel KU Leuven,59.08975,57.127472222222224
12,16,19,MP 06: Parkstraat 2 La Filosovia,58.31632879755624,56.71332963065815
12,16,19,MP 07: Naamsestraat 81,57.28111111111111,55.797999999999995
12,16,19,MP08bis - Vrijthof,44.58444444444444,43.45166666666667
12,16,20,MP 01: Naamsestraat 35  Maxim,57.05583333333333,55.21897222222222
12,16,20,MP 02: Naamsestraat 57 Xior,56.41333703806613,54.56362878577383
12,16,20,MP 03: Naamsestraat 62 Taste,57.16880555555556,55.41002777777778
12,16,20,MP 04: His & Hears,58.77233333333333,56.952555555555556
12,16,20,MP 05: Calvariekapel KU Leuven,56.68980555555555,54.640388888888886
12,16,20,MP 06: Parkstraat 2 La Filosovia,56.51108641289247,54.703223117532644
12,16,20,MP 07: Naamsestraat 81,54.900777777777776,53.23383333333333
12,16,20,MP08bis - Vrijthof,44.07127777777778,42.829277777777776
12,16,21,MP 01: Naamsestraat 35  Maxim,54.471000000000004,52.32761111111111
12,16,21,MP 02: Naamsestraat 57 Xior,53.70891666666667,51.778888888888886
12,16,21,MP 03: Naamsestraat 62 Taste,57.3281744929147,55.15507085301473
12,16,21,MP 04: His & Hears,56.55997222222222,54.73427777777778
12,16,21,MP 05: Calvariekapel KU Leuven,55.82883333333333,53.79538888888889
12,16,21,MP 06: Parkstraat 2 La Filosovia,54.732083333333335,52.82863888888889
12,16,21,MP 07: Naamsestraat 81,53.02030555555556,51.39463888888889
12,16,21,MP08bis - Vrijthof,44.267138888888894,43.00955555555555
12,16,22,MP 01: Naamsestraat 35  Maxim,53.78172222222223,51.57977777777778
12,16,22,MP 02: Naamsestraat 57 Xior,54.16561111111111,52.11091666666666
12,16,22,MP 03: Naamsestraat 62 Taste,56.055845598444876,54.14243265759511
12,16,22,MP 04: His & Hears,58.545861111111115,56.39194444444445
12,16,22,MP 05: Calvariekapel KU Leuven,56.27608333333333,54.11527777777778
12,16,22,MP 06: Parkstraat 2 La Filosovia,54.75680555555556,52.77119444444444
12,16,22,MP 07: Naamsestraat 81,53.045611111111114,51.314055555555555
